-- Стоим у шлагбаума в зоне 3304 --
[ 15.07.22 13:59:44 ] vld: 1, lat: 55.751287, long: 37.756807, crs: 254.80, spd: 0.00
[ 15.07.22 13:59:45 ] vld: 1, lat: 55.751288, long: 37.756809, crs: 254.80, spd: 1.30
[ 15.07.22 13:59:45 ] vld: 1, lat: 55.751288, long: 37.756809, crs: 254.80, spd: 1.30
[ 15.07.22 13:59:46 ] vld: 1, lat: 55.751288, long: 37.756818, crs: 78.00, spd: 3.52
-- Курс сбился после остановки - снова попадаем в зону 3304 --
[ 15.07.22 13:59:46 ] vld: 1, lat: 55.751288, long: 37.756818, crs: 78.00, spd: 3.52
[ 15.07.22 13:59:47 ] vld: 1, lat: 55.751288, long: 37.756834, crs: 78.00, spd: 3.15
[ 15.07.22 13:59:47 ] vld: 1, lat: 55.751288, long: 37.756834, crs: 78.00, spd: 3.15
[ 15.07.22 13:59:48 ] vld: 1, lat: 55.751290, long: 37.756850, crs: 78.00, spd: 3.52
[ 15.07.22 13:59:48 ] vld: 1, lat: 55.751290, long: 37.756850, crs: 78.00, spd: 3.52
[ 15.07.22 13:59:49 ] vld: 1, lat: 55.751292, long: 37.756867, crs: 78.00, spd: 3.33
[ 15.07.22 13:59:49 ] vld: 1, lat: 55.751292, long: 37.756867, crs: 78.00, spd: 3.33
[ 15.07.22 13:59:50 ] vld: 1, lat: 55.751296, long: 37.756885, crs: 78.00, spd: 4.07
[ 15.07.22 13:59:50 ] vld: 1, lat: 55.751296, long: 37.756885, crs: 78.00, spd: 4.07
[ 15.07.22 13:59:51 ] vld: 1, lat: 55.751299, long: 37.756897, crs: 78.00, spd: 1.48
[ 15.07.22 13:59:51 ] vld: 1, lat: 55.751299, long: 37.756897, crs: 78.00, spd: 1.48
[ 15.07.22 13:59:52 ] vld: 1, lat: 55.751303, long: 37.756903, crs: 78.00, spd: 2.04
[ 15.07.22 13:59:52 ] vld: 1, lat: 55.751303, long: 37.756903, crs: 78.00, spd: 2.04
[ 15.07.22 13:59:53 ] vld: 1, lat: 55.751306, long: 37.756906, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:53 ] vld: 1, lat: 55.751306, long: 37.756906, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:54 ] vld: 1, lat: 55.751308, long: 37.756905, crs: 78.00, spd: 0.56
[ 15.07.22 13:59:54 ] vld: 1, lat: 55.751308, long: 37.756905, crs: 78.00, spd: 0.56
[ 15.07.22 13:59:55 ] vld: 1, lat: 55.751315, long: 37.756902, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:55 ] vld: 1, lat: 55.751315, long: 37.756902, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:56 ] vld: 1, lat: 55.751322, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:56 ] vld: 1, lat: 55.751322, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:57 ] vld: 1, lat: 55.751326, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:57 ] vld: 1, lat: 55.751326, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:58 ] vld: 1, lat: 55.751331, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:58 ] vld: 1, lat: 55.751331, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:59 ] vld: 1, lat: 55.751334, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 13:59:59 ] vld: 1, lat: 55.751334, long: 37.756901, crs: 78.00, spd: 0.00
[ 15.07.22 14:00:00 ] vld: 1, lat: 55.751337, long: 37.756902, crs: 78.00, spd: 0.00
